country,latDem,Dem,Index,colour,pval,tau,ips_ss_val,sa_ss_val,ips_work,ips_trsm,ips_study,ips_fam,ips_mar,ips_sch,ips_med,ips_trans,ips_sprt,sa_work,sa_trsm,sa_study,sa_fam,sa_mar,sa_sch,sa_med,sa_trans,sa_sprt,ips_work_val,ips_trsm_val,ips_study_val,ips_fam_val,ips_mar_val,ips_sch_val,ips_med_val,ips_trans_val,ips_sprt_val,sa_work_val,sa_trsm_val,sa_study_val,sa_fam_val,sa_mar_val,sa_sch_val,sa_med_val,sa_trans_val,sa_sprt_val,DemandPop,LatDemPop,ips_work_val_perc,ips_trsm_val_perc,ips_study_val_perc,ips_fam_val_perc,ips_mar_val_perc,ips_sch_val_perc,ips_med_val_perc,ips_trans_val_perc,ips_sprt_val_perc,sa_work_val_perc,sa_trsm_val_perc,sa_study_val_perc,sa_fam_val_perc,sa_mar_val_perc,sa_sch_val_perc,sa_med_val_perc,sa_trans_val_perc,sa_sprt_val_perc
Jordan,87,54,27,#e7aaca,0.065,0.54,35,13,2,1,5,3,6,7,8,4,9,1,3,4,6,5,7,8,2,9,11,12,1,7,0,0,0,4,0,5,2,1,0,1,0,0,4,0,Tourism,Work,31.43,34.29,2.86,20,0,0,0,11.43,0,38.46,15.38,7.69,0,7.69,0,0,30.77,0
Algeria,86,49,28,#e7aaca,0.075,0.56,15,16,2,1,5,3,6,7,8,4,9,2,1,3,4,5,6,7,8,9,5,6,0,3,0,0,0,1,0,1,12,1,1,1,0,0,0,0,Tourism,Tourism,33.33,40,0,20,0,0,0,6.67,0,6.25,75,6.25,6.25,6.25,0,0,0,0
Indonesia,85,65,29,#a098c4,0.025,0.66,38,14,2,1,5,3,7,8,9,4,6,1,2,4,5,6,7,8,3,9,6,21,2,4,0,0,0,3,2,6,5,1,0,0,0,0,2,0,Tourism,Work,15.79,55.26,5.26,10.53,0,0,0,7.89,5.26,42.86,35.71,7.14,0,0,0,0,14.29,0
Jamaica,84,41,30,#e7aaca,0.066,0.6,14,12,5,2,6,1,7,8,9,3,4,2,1,4,3,5,6,7,9,8,1,3,0,6,0,0,0,2,2,3,8,0,1,0,0,0,0,0,Family,Tourism,7.14,21.43,0,42.86,0,0,0,14.29,14.29,25,66.67,0,8.33,0,0,0,0,0
Afghanistan,83,32,31,#e7aaca,0.49,0.23,5,9,3,2,4,1,5,6,7,8,9,2,1,3,4,5,6,7,8,9,0,1,0,4,0,0,0,0,0,2,5,2,0,0,0,0,0,0,Family,Tourism,0,20,0,80,0,0,0,0,0,22.22,55.56,22.22,0,0,0,0,0,0
Bangladesh,82,55,32,#e7aaca,0.19,0.41,32,10,3,2,4,1,6,7,8,5,9,4,1,5,2,3,6,7,8,9,6,9,2,13,0,0,0,2,0,0,7,0,2,1,0,0,0,0,Family,Tourism,18.75,28.12,6.25,40.62,0,0,0,6.25,0,0,70,0,20,10,0,0,0,0
Kenya,81,62,33,#a098c4,0.11,0.52,41,10,2,3,5,1,6,7,8,4,9,1,2,5,3,4,6,7,9,8,12,5,1,21,0,0,0,2,0,4,4,0,1,1,0,0,0,0,Family,Work,29.27,12.2,2.44,51.22,0,0,0,4.88,0,40,40,0,10,10,0,0,0,0
Singapore,80,85,34,#a098c4,0.12,0.46,208,11,2,1,5,3,7,8,9,4,6,3,2,1,4,5,6,7,8,9,49,86,4,43,0,0,0,22,4,2,4,5,0,0,0,0,0,0,Tourism,Study,23.56,41.35,1.92,20.67,0,0,0,10.58,1.92,18.18,36.36,45.45,0,0,0,0,0,0
Brazil,79,93,35,#4782bd,0.48,0.2,373,14,4,1,5,2,7,8,9,3,6,3,2,1,5,4,6,7,8,9,47,210,15,51,0,0,0,48,2,2,5,6,0,1,0,0,0,0,Tourism,Study,12.6,56.3,4.02,13.67,0,0,0,12.87,0.54,14.29,35.71,42.86,0,7.14,0,0,0,0
Peru,78,34,36,#e7aaca,0.88,0.049,7,11,4,5,3,1,6,7,8,2,9,4,1,5,6,3,7,8,2,9,0,0,1,4,0,0,0,2,0,0,5,0,0,1,0,0,5,0,Family,Tourism,0,0,14.29,57.14,0,0,0,28.57,0,0,45.45,0,0,9.09,0,0,45.45,0
